Название,Тип оружия,Базовая атака,Главная характеристика,Колиество стата главной характеристики,Пассивная способность на первом пробуждении,Пассивная способность на пятом пробуждении,Описание,История оружия,Необходимые для прокачки материалы
Меч Сокола,Одноручное,674,Бонус физ. урона,41.3%,"Увеличивает силу атаки на 20%. При получении урона пробуждается душа Сокола Запада, несущего знамя сопротивления. Восстанавливает HP, равное 100% от силы атаки, и наносит 200% урона окружающим врагам. Может возникнуть раз в 15 сек.","Увеличивает силу атаки на 40%. При получении урона пробуждается душа Сокола Запада, несущего знамя сопротивления. Восстанавливает HP, равное 160% от силы атаки, и наносит 320% урона окружающим врагам. Может возникнуть раз в 15 сек.","Дух рыцарей Ордо Фавониус. Спустя века он всё ещё взывает к ветрам правосудия, чтобы наказать зло, словно героиня легенд, что была когда-то его владельцем.","Все знают, что защита сокола - это милость Ордо Фавониус.
Но немногие знают, что милость Фавониуса - это далекое племя.

В то время, когда Мондштадт, угнетаемый тиранией аристократов, молил о свободе,
Воин из далёкого древнего племени, порабощённая аристократами, вступила в королевство ветров.
Хотя она и столкнулась с обманом и бесчестием, она всё равно боролась за справедливость.
Она свергла деспотов и аристократов, создала орден рыцарей и основала церковь.
После она получила благословение небес и снискала уважение богов.

Это - её меч, символ борьбы и пройденного ею пути,
Доказательство того, что ветра справедливости и свободы разлетелись по всему Мондштадту.
Стоит лишь взмахнуть этим мечом, чтобы услышать её полные отваги мысли:

Угнетённым - справедливость;
Пленникам - свободу;
Обманутым - мудрость.
Да направят нас ветра справедливости и свободы.","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Прочный наконечник стрелы - 15, Острый наконечник стрелы - 23, Старый наконечник стрелы - 27, Тяжёлый рог - 23, Чёрный бронзовый рог - 27, Чёрный кристаллический рог - 41, Плитка башни Декарабиана - 5, Обломок стены Декарабиана - 14, Фрагмент эпоса Декарабиана - 14, Осколок мечты Декарабиана - 6"
Небесный меч,Одноручное,608,Восст. энергии,55.1%,"Увеличивает шанс крит. попадания на 4%. Взрыв стихии пробуждает силу небес, которая увеличивает скорость передвижения и атаки на 10%, а обычные и заряженные атаки при попадании наносят дополнительный урон, равный 20% от силы атаки. Все эффекты длятся 12 сек.","Увеличивает шанс крит. попадания на 8%. Взрыв стихии пробуждает силу небес, которая увеличивает скорость передвижения и атаки на 10%, а обычные и заряженные атаки при попадании наносят дополнительный урон, равный 40% от силы атаки. Все эффекты длятся 12 сек.","Меч рыцаря, символ вернувшего свою честь Двалина. Благословения Анемо Архонта питают его силой небес и ветров.","Клык, пронзивший небеса.
Некогда он прошил черную чешую древнего королевства бездны,
Некогда вспорол глотки сынам грешников.

В далёком прошлом злой дракон Дурин пожелал завладеть цветущими землями Мондштадта, и два чёрных его крыла затмили свет солнца.
Зависть дьявольского дракона порождала зло, отравлявшее землю и людей, живших на ней.
В те страшные дни в Мондштадт пришли кровожадные монстры и запустение.
Архонт Ветра услышал плач людей, сошёл на землю и пробудил дракона ветра.
То был Двалин: крылья его наполнились ветром, и дракон взлетел прямо в небо, готовый сражаться за жизнь на земле.

Благословлённый Архонтом Ветра, Двалин вступил в битву со злым драконом, и схватка их сотрясла небеса.
Тысячи ветров схлестнулись с облаками яда, и солнце померкло, и небо запылало, как будто настал конец всего сущего.
И наконец посреди горящего неба Двалин вонзил свои клыки, освящённые Архонтом Ветра, в глотку Дурина.
И тут же Дурин рухнул на землю, сражённый драконом ветра. Но Двалин был отравлен его чёрной кровью.

Яд тёк по венам дракона ветра, и от нестерпимой боли Двалин потерял сознание.
Даже самые искусные барды не знали, где упал Двалин.
Прошли века: всё это время Двалин спал, и народ Мондштадта стал забывать о его жертве.
Когда Двалин, противясь действию пропитавшего его до мозга костей яда, очнулся ото сна, он не услышал пения лиры, не было рядом его лучшего друга.
Теперь люди, которых он некогда защищал, бежали от него; в их глазах Двалин стал Ужасом Бури.

Слава была восстановлена, тело и разум очистились от яда.
Песни вернули людям воспоминания.
Этот меч - воплощение молитвы о восстановлении славного имени дракона ветра.","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Слизь слайма - 15, Выделения слайма - 23, Концентрат слайма - 27, Ветви артерий земли - 23, Листья артерий земли - 27, Ростки артерий земли - 41, Молочный зуб арктического волка - 5, Треснувший зуб арктического волка - 14, Сломанный клык арктического волка - 14, Ностальгия арктического волка - 6"
Клятва свободы,Одноручное,608,Мастерство стихий,198,"Часть Тысячелетней симфонии, что блуждает среди ветров. Увеличивает наносимый урон на 10%. Вызов элементальной реакции даёт персонажу один Талисман воодушевления. Он может возникнуть раз в 0,5 сек., даже когда персонаж в отряде, но не активен. Два собранных Талисмана воодушевления пропадают, на 12 сек. наделяя ближайших членов отряда эффектом «Тысячелетняя симфония: Гимн восстания», который увеличивает урон, наносимый обычной атакой, заряженной атакой и атакой в падении, на 16%, а силу атаки - на 20%. В течение 20 сек. после активации эффекта Талисманы воодушевления появляться не будут. Тысячелетняя симфония с эффектами, влияющими на те же навыки, не складывается.","Часть Тысячелетней симфонии, что блуждает среди ветров. Увеличивает наносимый урон на 20%. Вызов элементальной реакции даёт персонажу один Талисман воодушевления. Он может возникнуть раз в 0,5 сек., даже когда персонаж в отряде, но не активен. Два собранных Талисмана воодушевления пропадают, на 12 сек. наделяя ближайших членов отряда эффектом «Тысячелетняя симфония: Гимн восстания», который увеличивает урон, наносимый обычной атакой, заряженной атакой и атакой в падении, на 32%, а силу атаки - на 40%. В течение 20 сек. после активации эффекта Талисманы воодушевления появляться не будут. Тысячелетняя симфония с эффектами, влияющими на те же навыки, не складывается.","Цвет этого меча напоминает о древних песнопениях, а его острота подобна словам данной в царстве ветров клятвы свободы.","Некогда эту песню знал каждый, и под неё поднимали бокалы и устраивали проводы:
«Если кто-то вырвал твой язык - ты можешь петь глазами.
Если кто-то лишил тебя глаз - ты можешь видеть ушами.
Если кто-то хочет украсть будущее - пусть выпьет с нами,
Ведь даже если завтра умрёт, эта песня будет жить веками».

Говорят, характер региона следует за своим Архонтом, причём это справедливо и для ландшафта, и для людей.
Но правда ли вольный Архонт, сражаясь со злом, подарил людям любовь к вину и свободе?
Или сами люди среди бурь и штормов взрастили в Архонте Ветра любовь к свободе?
На этот вопрос уже не найти ответа.

Но та песня часто поётся в мрачные времена.
Будь то время царствования Короля Штормов
или эпоха низвержения веры в Архонта прогнившей аристократией,
в закрытых подвалах, во мраке улиц, в ветхих тавернах
звучала эта песня, и она давала отпор штормам и тирании, становилась гимном для восставших героев.

В далёком прошлом, в осажденном со всех сторон молчаливом городе
прозвучала лира, и её песня вместе с сотнями громких голосов сломила тюрьму лютых ветров.
Некий юноша, дух, стрелок, рыцарь и рыжий бродячий воин
встали перед башней, устремившейся в небо, будто копьё,
и тень её, длинная, как тень великана, легла на храбрецов,
а они дали клятву, что будут свободны люди, что будет положен конец правлению тирану, живущему на вершине шпиля.

Те, кто был слишком слаб и не мог взобраться на башню, запели песню, которую в наши дни можно услышать лишь в шёпоте укрытых от ветра уголков города.
И та песня, которую знал каждый и под которую поднимали бокалы, силой своей сотрясла стены, подбадривая героев, решившихся забраться на вершину...
«Если кто-то вырвал твой язык - ты можешь петь глазами.
Если кто-то лишил тебя глаз - ты можешь видеть ушами.
Но если кто-то хочет украсть твою песню, твою свободу,
Такое нельзя - слышишь! - нельзя простить!»","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Свиток божественной магии - 15, Свиток печати - 23, Свиток запретного проклятья - 27, Устройство хаоса - 23, Цепь хаоса - 27, Ядро хаоса - 41, Кандалы львиного клыка - 5, Цепи львиного клыка - 14, Оковы львиного клыка - 14, Мечты львиного клыка - 6"
Кромсатель пиков,Одноручное,608,Сила атаки,49.6%,"Увеличивает прочность щита на 20%. При попадании увеличивает силу атаки на 4% в течение 8 сек. Эффект может складываться до 5 раз и возникнуть раз в 0,3 сек. Кроме того, под защитой щита бонус силы атаки данного эффекта увеличивается на 100%.","Увеличивает прочность щита на 40%. При попадании увеличивает силу атаки на 8% в течение 8 сек. Эффект может складываться до 5 раз и возникнуть раз в 0,3 сек. Кроме того, под защитой щита бонус силы атаки данного эффекта увеличивается на 100%.","Говорят, этот клинок - символ легендарного контракта. Когда-то его острым лезвием была срезана вершина горы.","В глубокой древности боги и демоны метались по земле,
Не было покоя в мире, и люди вопрошали:
- О, смилуйся, ответь: где моя любимая, где мои дети?
- О, смилуйся, ответь: когда вернутся те, кто ушёл?
- Боги, когда закончатся эти страшные времена?

Хоть крепки люди гор - сердца их разрывались от горя.
Хоть упрямы ревнители веры - глаза их наливались кровью.
Хоть не вымолвишь ни слова - голос в сердце не умолкнет.

Властелин Камня явил чудо - из кор ляписа высек меч.
Взмахом срубил вершину горы - с народом великий контракт заключил.
Разделённая семья соберётся, предатель понесёт наказание.
Потерявший любовь, лишённый богатства, невинно претерпевший - всем воздастся.

А может это просто басня - их в Ли Юэ не перечесть.
А может действует ещё великий договор,
И те, кто нарушил его, - враги бога этой земли,
И срубленная горная вершина рано или поздно упадёт им на голову.

Ещё жива легенда, что истинный хозяин вернётся,
Что меч снова засверкает и уничтожит великую несправедливость.
И как тысячи лет назад Властелин Камня произнесёт перед народом великую клятву.","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Разбитая маска - 15, Грязная маска - 23, Зловещая маска - 27, Церемониальный нож охотника - 23, Церемониальный нож агента - 27, Церемониальный нож инспектора - 41, Светящийся песок Гуюнь - 5, Блестящий камень Гуюнь - 14, Реликвия Гуюнь - 14, Останки богов Гуюнь - 6"
Драгоценный омут,Одноручное,542,Шанс крит. попадания,44.1%,"Увеличивает HP на 20%. Также даёт бонус атаки, равный 1,2% от макс. HP экипированного этим оружием персонажа.","Увеличивает HP на 40%. Также даёт бонус атаки, равный 2,4% от макс. HP экипированного этим оружием персонажа.","Ритуальный меч, искусно вырезанный из чистейшего нефрита и покрытый изящными гравировками. Иногда кажется, что при взмахе им можно услышать тихий вздох ветра.","Говорят, что когда Ли Юэ только закладывался, Властелин Камня ходил по земле с зелёным нефритовым мечом.
Хотя клинок и был отполирован годами, ярко-зелёное остриё, что часто вкушало кровь врагов, по-прежнему сверкало, как новое.
Алая кровь тысячи лет смывалась дождевой водой, но от воспоминаний и ненависти так легко не избавиться.

«Драгоценный нефрит обладает душой и нежностью реки Бишуй и сам может смыть давние обиды, что остались на его поверхности.»
«Но кто смоет скорбь прекрасного нефрита, обращённого в орудие убийства?»

Старый друг, чьё имя забыто, некогда горевал и тяжело вздыхал,
Но судьба, которой невозможно препятствовать, в конце концов заглушила слова сочувствия.

Долгое, долгое время он проливал кровь врагов, которые когда-то были друзьями,
Ведь в конце концов и отвернувшийся друг, и отпустивший ненависть враг могут выпить вместе.
В те времена меч создавался и обрабатывался как ценный дар некоему человеку.
Драгоценный зелёный нефрит изначально был вырезан для мира и роскоши.

Но винные бокалы переполнились кровью, доброта была растерзана чёрствыми желаниями и развеяна прахом,
Когда он, непреподнесённый дар, невысказанный знак дружбы, стал клинком, что отсёк голову старому другу.","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Пыльца туманной травы - 23, Мешочек с туманной травой - 27, Пучок туманной травы - 41, Печать Похитителей сокровищ - 15, Печать серебряного ворона - 23, Печать золотого ворона - 27, Свинцовая пилюля Заоблачного моря - 5, Ртутная пилюля Заоблачного моря - 14, Золотая пилюля Заоблачного моря - 14, Примо эликсир Заоблачного моря - 6"
Рассекающий туман,Одноручное,674,Крит. урон,44.1%,"Все типы элементального урона получают 12% бонуса урона, а также силу Эмблемы рассекателя тумана. На уровнях эмблемы 1, 2 или 3 персонаж получает 8%, 16% или 28% бонуса к элементальному урону своей стихии соответственно. Персонаж получает 1 уровень Эмблемы рассекателя тумана в каждом из следующих случаев: при нанесении элементального урона обычной атакой, эмблема действует 5 сек.; при применении взрыва стихии, эмблема действует 10 сек.; когда элементальная энергия персонажа ниже 100%, полученная таким образом эмблема действует до тех пор, пока персонаж не восстановит всю свою элементальную энергию. Продолжительность действия каждого уровня эмблемы рассчитывается индивидуально.","Все типы элементального урона получают 24% бонуса урона, а также силу Эмблемы рассекателя тумана. На уровнях эмблемы 1, 2 или 3 персонаж получает 16%, 32% или 56% бонуса к элементальному урону своей стихии соответственно. Персонаж получает 1 уровень Эмблемы рассекателя тумана в каждом из следующих случаев: при нанесении элементального урона обычной атакой, эмблема действует 5 сек.; при применении взрыва стихии, эмблема действует 10 сек.; когда элементальная энергия персонажа ниже 100%, полученная таким образом эмблема действует до тех пор, пока персонаж не восстановит всю свою элементальную энергию. Продолжительность действия каждой эмблема рассчитывается индивидуально.","Меч, пылающий зловещим фиолетовым светом. Однажды он уже был сломан, но затем его выковали заново.","Один из многих мечей, которыми сёгун одаривает хатамото. Говорят, что он может призвать силы молнии и разрубить надвое всё, включая горы, ветер, ночь и даже туман.
Однажды его разбили на тысячу осколков. Когда его перековали, его клинок украсили полосами, напоминающими поток облаков.

В народной песне поётся об «Больших вратах Аратаки, наследии Ивакуры, длинной змее Китаин и Рассекающем туман».
Дети, любящие боевые искусства, сопоставили знаменитых мастеров боевых искусств. Один из них - Такаминэ с Рассекающим туман.
Однажды он путешествовал вместе с монахом в поисках очищения от скверны и с помощью секретного стиля меча «Рассекатель Тумана» убил бесчисленное множество монстров и Татаригами.
Он также научился у тэнгу Ёго стрельбе из лука и передал это знание избранному им владельцу.
Однако у Рассекателя Тумана, секретного стиля боя с мечом, не было последователей, и теперь его можно встретить только в рукописях, рисунках и сказках.

В конце своей службы он занял должность помощника в армии сёгуна и сражался против тёмной армии.

Если бы он не проспорил ей свой любимый лук, возможно, всё было бы иначе.
Но настоящим игрокам не пристало сожалеть, думать «а что, если» или сокрушаться «если бы только».
Враги приходят, как туман. Поэтому просто продолжай рубить, используя стиль, который может его рассеять.
Если удары будут достаточно быстрыми, то тёмный туман рассеется, и ты увидишь свет.

«Асасэ, твоё обещание... Нет, в этот раз я не проиграю».
«Я вернусь и заберу лук, который поставил, и само будущее станет моим призом!»

Как нескончаемая цепь молний, он с Рассекающим туман сразил бесчисленное количество демонов.
Однако меч был не таким стойким, как его владелец. Постепенно он сломался.
И погрузился в этот густой тёмный туман...
В конце концов его восстановили, использовав только часть осколков клинка, и меч унаследовал название Рассекающий туман.

Словно держась в темноте за паутинку, воин крепко сжимал рукоять сломанного меча.
В тёмном тумане он упорно напоминал себе:
Результат игры ещё неизвестен. Я должен вернуться к Асасэ...","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Старая гарда - 15, Гарда кагэути - 23, Прославленная гарда - 27, Механизм хаоса - 23, Ось хаоса - 27, Око хаоса - 41, Коралловая ветвь внешних морей - 5, Драгоценная ветвь внешних морей - 14, Нефритовая ветвь внешних морей - 14, Золотая ветвь внешних морей - 6"
Харан гэппаку фуцу,Одноручное,608,Шанс крит. попадания,33.1%,"Даёт 12% бонус урона всеми элементами. Когда другие члены отряда поблизости активируют элементальные навыки, экипированный этим оружием персонаж получает 1 уровень Волны-шипа. Эффект возникает не чаще, чем один раз в 0,3 сек. Всего можно получить не более 2 уровней. Когда персонаж с этим оружием применяет элементальный навык, все уровни Волны-шипа тратятся, и он получает Хаос волн, который повышает урон обычной атаки согласно количеству уровней. Каждый уровень этого эффекта повышает урон обычной атаки на 20% в течение 8 сек.","Даёт 24% бонус урона всеми элементами. Когда другие члены отряда поблизости активируют элементальные навыки, экипированный этим оружием персонаж получает 1 уровень Волны-шипа. Эффект возникает не чаще, чем один раз в 0,3 сек. Всего можно получить не более 2 уровней. Когда персонаж с этим оружием применяет элементальный навык, все уровни Волны-шипа тратятся, и он получает Хаос волн, который повышает урон обычной атаки согласно количеству уровней. Каждый уровень этого эффекта повышает урон обычной атаки на 40% в течение 8 сек.",Произведение искусства рода кузнецов Фуцу. «Харан» в названии связано со сходством клинка с неистовыми морскими валами.,"Этот меч упоминается в «Антологии мечей Инадзумы» за авторством Микоси Нагамасы, знаменитого инспектора Татарасуны.
Школа Фуцу изготовила на заказ два меча серии гэппаку фуцу: Хасуи и Харан.
Харан - единственный сохранившийся клинок, выкованный великим кузнецом Масагомару.

Говорят, что в клинки вложены души тех, кто их выковал...
Так начинается «Антология».
Говорят, что Хасуи был выкован Фуцу Минори из третьего поколения мастеров школы.
Этот великолепный бледно-голубой меч с похожим на водную рябь лезвием часто носили на поясе личные слуги сёгуна.
Во время одной смертельной дуэли, решившей судьбу народа óни, клинок сломался и был отправлен на перековку.
В это время Фуцу Минори, которую уже давно мучили алкоголь, старые раны и тяжёлые воспоминания о Татаригами, сломалась, как клинок из незакалённой стали.
Глава четвертого поколения Фуцу Хироёси не мог сравниться с мастерством своей матери.
Это был его названый брат Фуцу Масаёси, которого называют Масагомару.
Именно он выковал меч, позволив шедевру школы Фуцу вновь появиться в этом мире.
Оба клинка гэппаку фуцу очень похожи внешне, но разные по характеру.

За всю свою жизнь Масагомару дал имя только этому мечу, и то по очень простой причине.
Он был немым неграмотным сиротой, которого взял к себе мастер третьего поколения.
Когда ему приказали возродить красоту клинка Хасуи, он выгравировал его прежнее имя.

Когда Фуцу Минори ушла из жизни, Масагомару обучил Хироёси её технике ковки.
Говорят, она хотела, чтобы именно Масагомару возглавил школу, но он неоднократно отказывался.
Создание Харана и сопутствующая этому известность едва не повлияла на преемственность Хироёси на посту главы четвёртого поколения мастеров.
Поэтому, когда его названый брат возглавил школу, Масагомару решил идти своим путём.
Он обращался в разные кузнечные школы, по капле впитывая драгоценную мудрость знаменитых кузнецов.
В последние годы жизни у него было три ученика, которыми он больше всего гордился: Каэдэхара Кагэмицу, Нива Нагамицу и Акамэ Мицунага.
Эти трое создадут Иссин Сансаку, три великих произведения искусства Иссин.

«Тогда я был всего лишь немым от рождения уродцем, грязным, брошенным ребёнком.
Словно мотылёк я жаждал тепла в горькие, холодные ночи, и обрёл его возле кузнечной печи.
Передо мной стояла мастер третьего поколения, та, кого люди называли угрюмой и высокомерной.
Но она, в отличие от других, не только не прогнала меня, но и дала немного риса, чтобы наполнить мой пустой желудок.
Увидев, что я покрыт металлическим песком, она назвала меня Масагомару».

В сердце не умеющего говорить, но тонко чувствующего Масагомару, должно быть, скрыто много историй.
Всё невысказанное в конечном итоге исчезнет в волнах...

«Я был нем, поэтому мастер третьего поколения рассказывала мне много историй.
О старой ране, поразившей одну сторону её тела, о желаниях её матери и брата,
о красных хакама, которые ей не суждено надеть, и о гигантской волне, которая однажды поглотит всё...»

Однажды ночью мальчик пробрался в кузницу и увидел знаменитого темпераментного мастера.
Она усердно ковала куски железа, не обращая внимания на слёзы, текущие по её щекам.
«Тебе лучше забыть то, что ты только что видел, понял?»
Испугавшись, мальчик повторно кивнул, и она вдруг разразилась смехом, хлопая в ладоши:
«Я совсем забыла, что твои уста запечатаны, подобно бутылке вина. Это делает тебя лучшим другом!

Слухи в целом верны. Я непредсказуемая пьяница».
Если подумать, мне следовало принять приглашение мастера и выпить с ней...

«Антология» также повествует о различиях в форме клинков гэппаку фуцу.
Великое произведение Фуцу Минори, похожее на безмятежную и спокойную гладь ночного моря, стало известно как Хасуи.
Меч, который воссоздал немой Масаёси, был внушительным, как могучая буря, за что получил имя Харан.","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Мрачная статуэтка - 23, Тёмная статуэтка - 27, Смертельная статуэтка - 41, Старая гарда - 15, Гарда кагэути - 23, Прославленная гарда - 27, Мудрость Наруками - 5, Радость Наруками - 14, Милость Наруками - 14, Доблесть Наруками - 6"
Ключ Хадж-нисут,Одноручное,542,HP,66.2%,"Увеличивает НР на 20%. Попадание элементальным навыком на 20 сек. создаёт Великое сказание, которое повышает мастерство стихий экипированного этим оружием персонажа на 0,12% от его макс. HP. Эффект может возникнуть не чаще 1 раза в 0,3 сек. и складывается до 3 раз. После получения 3 уровней или обновления длительности 3 уровня мастерство стихий всех персонажей поблизости увеличится на 0,2% от макс. HP экипированного этим оружием персонажа на 20 сек.","Увеличивает НР на 40%. Попадание элементальным навыком на 20 сек. создаёт Великое сказание, которое повышает мастерство стихий экипированного этим оружием персонажа на 0,24% от его макс. HP. Эффект может возникнуть не чаще 1 раза в 0,3 сек. и складывается до 3 раз. После получения 3 уровней или обновления длительности 3 уровня мастерство стихий всех персонажей поблизости увеличится на 0,4% от макс. HP экипированного этим оружием персонажа на 20 сек.","Один из пары обсидиановых скипетров. Согласно легенде, он открывает врата в рай, который сокрыт на краю песчаного моря.","Это история из тех дней, когда мечты Владыки песков исчезли, а Владыка зелени спрятал шёпот демонических небес.
Распад разделил великое божественное царство на множество малых царств, а затем стёр их все в песок.
Царица одного из этих царств сожгла позолоченные одежды и корону маленького принца и заставила его бежать, переодевшись в мешковину слуги.
Прошли годы, и принц превратился в сына того, кто правил невольничьими рынками, а затем в скитальца, потерявшего всё.

«Когда я ещё мог плакать над восходом солнца над башней миражей, я давал советы своему повелителю, сокрушая многие города в его честь».
«Однажды я благословил сына бывшего царя при его рождении: даже после его смерти хвалебные гимны в его честь не затихнут...»
«Я недооценивал многих людей и события в прошлом, но сейчас я вообще ничего не вижу. Это моё наказание судьбы».
«Стань моим учеником. Будь моими глазами и опиши мне людей и вещи, которые встретишь в этой позолоченной пустыне».
«Я надеюсь однажды соткать стихи героев в самый красивый гобелен, который когда-либо существовал в божественных дворах».

Монеты разрушаются, когда переходят из рук в руки, но благородные вещи становятся лишь сильнее.
Его последним владельцем был слепой поэт. Позже история превратилась из рассказа о хозяине и слуге в рассказ о учителе и ученике.

«Перед тем, как мы расстались, мама сказала мне, что мы снова встретимся в вечном оазисе...»
«Используй этот меч как ключ к вратам рая и восстанови царство среди изумрудов и гранатов».

Услышав историю о странствующем принце, престарелый поэт погладил тусклое лезвие чёрного меча. Наконец, он ответил:
«Это конец наших отношений как учителя и ученика. Я всего лишь мелкая деталь в истории твоей жизни».

«Учитель...»

«Ксифос, тебя ждёт куда более великая судьба, чем любого из поэтов. Не опускайся до того, чтобы описывать истории других».
«Тебе благоволит джинн. Ты владеешь ключом Хадж-нисут. Ты принц некогда потерянного королевства.
Отправляйся в странствия. Ты создашь новые истории и найдёшь вечный оазис...
В те времена, когда я писал гимны для своего повелителя, я фантазировал о том, чтобы писать оды герою судьбы.
Позволь мне стать рассказчиком эпопеи твоей жизни. Эпопеи о воссоединении с матерью и возвращении славы Владыки песков».

В конце концов, их пути пересеклись - наследного принца, который стал рабом, а затем героем, и наёмника, который упал с трона.

Во многих легендах упоминается ключ. Говорят, что он повелел пескам образовать текущую реку в воздухе и запечатать родину после того, как Владыка песков расстался со старыми друзьями.
Говорят даже, что он использовался для того, чтобы спрятать Чертоги в пустыне и рай мечты под эгидой иллюзий.
Этот ключ переходил из рук в руки смертных тиранов и царей, пока наконец тоже не вернулся в объятия песка.
Что же касается престарелого слепого поэта, то он шёл по запятнанным кровью следам, пока не отыскал свой путь в лес...","Мора - 1131.4K, Обычная руда усиления - 1, Превосходная руда усиления - 2, Волшебная руда усиления - 906, Выцветший красный шёлк - 15, Окаймлённый красный шёлк - 23, Златотканый красный шёлк - 27, Сломанная призма - 23, Загрязнённая призма - 27, Блестящая призма - 41, Медный амулет лесной росы - 5, Железный амулет лесной росы - 14, Серебряный амулет лесной росы - 14, Золотой амулет лесной росы - 6"
